Latitude,Longitude,DirectNormal,DifuseRadiation,FotoActive,GlobalHorizonta,PlanoInclinado,InsolacaoTotal,PreciptacaoTotal,TempMaxMedia,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,Altitude,Umidade,TempMinimaMedia,PressaoMedia,Em_SARAH,Hm_SARAH,SDm_SARAH,Em_NSRDB,Hm_NSRDB,SDm_NSRDM
-9.3005,-36.449,4541,2192,5263,5273,2272,171.33023255813953,77.9472906403941,26.342124846153848,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356584,922.6833972525774,130.0,172,3.95,132.0,175,3.86
-9.2005,-40.649,5612,2056,5779,5764,2431,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,139.0,183,4.48,140.0,185,3.68
-9.2005,-40.549,5614,2050,5788,5773,2434,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,137.0,181,4.52,141.0,186,3.59
-9.2005,-40.449,5474,2069,5720,5705,2407,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,138.0,181,4.54,138.0,181,3.16
-9.2005,-40.349000000000004,5428,2071,5701,5687,2402,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,135.0,178,4.81,140.0,185,2.6
-9.2005,-40.249,5256,2114,5623,5609,2364,256.41674876847287,36.44019607843137,32.47501065196079,3.052582446078431,5.358278431372549,370.46,55.46139656020943,22.395253376237626,970.8785758480392,134.0,177,5.06,134.0,177,2.79
-9.2005,-38.349000000000004,5158,2127,5634,5634,2396,245.6159139784946,43.801036269430064,32.69350291351351,4.100098299465241,7.922179893048128,341.46,57.292606596685104,22.33311053475936,973.9977232994652,138.0,182,3.14,144.0,190,2.77
-9.2005,-38.249,5080,2154,5577,5580,2367,245.6159139784946,43.801036269430064,32.69350291351351,4.100098299465241,7.922179893048128,341.46,57.292606596685104,22.33311053475936,973.9977232994652,137.0,180,3.56,142.0,187,2.67
-9.2005,-38.149,5097,2135,5559,5562,2359,237.22620320855617,56.047150259067365,29.51119107291667,3.720392776595744,7.025531157894738,680.6999999999998,76.99311193406594,18.407278821989532,938.20152175,136.0,179,3.7,137.0,181,5.09
-9.2005,-38.049,5035,2150,5523,5526,2338,237.22620320855617,56.047150259067365,29.51119107291667,3.720392776595744,7.025531157894738,680.6999999999998,76.99311193406594,18.407278821989532,938.20152175,132.0,174,4.28,137.0,181,5.3
-9.2005,-37.949,5133,2140,5572,5577,2356,237.22620320855617,56.047150259067365,29.51119107291667,3.720392776595744,7.025531157894738,680.6999999999998,76.99311193406594,18.407278821989532,938.20152175,130.0,171,4.66,142.0,187,4.08
-9.2005,-37.249,4972,2158,5471,5477,2331,171.33023255813953,77.9472906403941,26.342124846153848,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356584,922.6833972525774,136.0,179,4.01,140.0,184,3.43
-9.2005,-37.149,5069,2142,5504,5509,2346,171.33023255813953,77.9472906403941,26.342124846153848,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356584,922.6833972525774,131.0,173,5.13,140.0,185,3.39
-9.2005,-37.049,4883,2161,5407,5416,2308,171.33023255813953,77.9472906403941,26.342124846153848,3.140444733695652,6.833626594594595,822.76,82.64906878448275,17.837738426356584,922.6833972525774,136.0,179,4.31,136.0,180,3.65
